id,taskid,docid,title,rightAnswer,choices
45,3,-1,下面哪一项不是朝鲜劳动党的贡献?,C,A.领导朝鲜军民，取得朝鲜战争的胜利\tB.大力发展朝鲜工农业\tC.援助中国进行抗日战争\tD.领导朝鲜人民积极发展旅游业
46,4,1,摩西马龙唯一一次总冠军经历是在哪支队伍？,B,A.休斯敦火箭队\tB.费城76人队\tC.洛杉矶湖人队\tD.波士顿凯尔特人队
47,4,2,摩西马龙毕业于哪所大学？,D,A.马里兰大学\tB.威斯康辛大学\tC.杜克大学\tD.没有上过大学
48,4,3,摩西-马龙给历史留下最深的印象是什么？,B,A.他很能得分\tB.他很能抢前场篮板\tC.他很能盖帽\tD.他的手很大
49,4,4,NBA新赛季MVP排行榜前五位中没有谁？,C,A.詹姆斯\tB.杜兰特\tC.马龙\tD.戴维斯
50,4,5,摩西马龙的葬礼在哪儿举行？,A,A.没有提到\tB.波尔图\tC.马德里\tD.波士顿
51,4,6,巴克利提到的让周围的人更好的超级球星中没有下面哪一位？,C,A.勒布朗\tB.魔术师\tC.马龙\tD.乔丹
52,4,-1,摩西马龙唯一一次总冠军经历是在哪支队伍？,B,A.休斯敦火箭队\tB.费城76人队\tC.洛杉矶湖人队\tD.波士顿凯尔特人队
53,4,-1,摩西马龙毕业于哪所大学？,D,A.马里兰大学\tB.威斯康辛大学\tC.杜克大学\tD.没有上过大学
54,4,-1,摩西-马龙给历史留下最深的印象是什么？,B,A.他很能得分\tB.他很能抢前场篮板\tC.他很能盖帽\tD.他的手很大
55,4,-1,NBA新赛季MVP排行榜前五位中没有谁？,C,A.詹姆斯\tB.杜兰特\tC.马龙\tD.戴维斯
56,4,-1,摩西马龙的葬礼在哪儿举行？,A,A.没有提到\tB.波尔图\tC.马德里\tD.波士顿
57,4,-1,巴克利提到的让周围的人更好的超级球星中没有下面哪一位？,C,A.勒布朗\tB.魔术师\tC.马龙\tD.乔丹
58,4,-1,摩西马龙没有在以下哪个队打过球?,D,A.ABA的犹他明星队\tB.休斯敦火箭队\tC.费城76人队\tD.洛杉矶湖人队
59,4,-1,下面哪一项不是摩西马龙的成就?,D,A.3次MVP\tB.1次总冠军\tC.NBA名人堂成员\tD.总得分NBA历史第一
60,4,-1,摩西马龙的哪一项数据排名NBA历史第一?,C,A.冠军总数\tB.篮板总数\tC.进攻篮板总数\tD.助攻总数
61,5,1,Surface Book没有采用哪一项技术？,C,A.采用了和Surface Pro 4相同的3:2屏幕\tB.0.4毫米厚的康宁大猩猩玻璃\tC.四个USB 3.0接口\tD.屏幕、键盘可以分离
62,5,2,下面哪一点不是关于Surface Book的描述？,A,A.关上它时屏幕和键盘贴合紧密\tB.独立显卡被内置到键盘中\tC.屏幕与键盘部分都内置了电池\tD.屏幕部分的电池在最理想状态下可以提供4个小时的电池续航
63,5,3,关于Surface Book的显卡哪一项不正确？,A,A.Nvidia GeForce GPU 内核在 Surface Book 的屏幕上\tB.可以应付很多桌面级 PC 游戏\tC.该 GPU 正是 Nvidia 主流显卡中的 Maxwell 架构设计\tD.并不是所有的版本都搭载 Nvidia GPU 
64,5,4,Surface Book与哪种MacBook用了同样的处理器？,D,A.MacBook Air\tB.MacBook\tC.MacBook Pro\tD.没有提到
65,5,5,Surface Book针对哪种操作系统进行了优化？,D,A.win7\tB.win8.1\tC.win10\tD.没有提到
66,5,6,Surface Book与Microsoft Band 2怎么连接？,A,A.没有提到\tB.USB\tC.蓝牙\tD.Onedrive
67,5,-1,Surface Book没有采用哪一项技术？,C,A.采用了和Surface Pro 4相同的3:2屏幕\tB.0.4毫米厚的康宁大猩猩玻璃\tC.四个USB 3.0接口\tD.屏幕、键盘可以分离
68,5,-1,下面哪一点不是关于Surface Book的描述？,A,A.关上它时屏幕和键盘贴合紧密\tB.独立显卡被内置到键盘中\tC.屏幕与键盘部分都内置了电池\tD.屏幕部分的电池在最理想状态下可以提供4个小时的电池续航
69,5,-1,关于Surface Book的显卡哪一项不正确？,A,A.Nvidia GeForce GPU 内核在 Surface Book 的屏幕上\tB.可以应付很多桌面级 PC 游戏\tC.该 GPU 正是 Nvidia 主流显卡中的 Maxwell 架构设计\tD.并不是所有的版本都搭载 Nvidia GPU 
70,5,-1,Surface Book与哪种MacBook用了同样的处理器？,D,A.MacBook Air\tB.MacBook\tC.MacBook Pro\tD.没有提到
71,5,-1,Surface Book针对哪种操作系统进行了优化？,D,A.win7\tB.win8.1\tC.win10\tD.没有提到
72,5,-1,Surface Book与Microsoft Band 2怎么连接？,A,A.没有提到\tB.USB\tC.蓝牙\tD.Onedrive
73,5,-1,下面哪一项不是微软2015年10月新品发布会上发布的产品?,B,A.Lumia 950/950 XL\tB.Surface 4\tC.Surface Pro 4\tD.Surface Book
74,5,-1,下面哪一项不是Surface Book的特点?,C,A.屏幕、键盘可以分离\tB.集成了LCD驱动晶体管的显示屏\tC.整体续航能够达到24小时\tD.Microsoft Precision触摸板支持五点触控
75,5,-1,下面关于Surface Book的说法哪一项是正确的?,B,A.所有版本的Surface Book都配有英伟达GeForce独立显卡\tB.屏幕部分和键盘部分都有电池\tC.侧面有三个USB 3.0接口\tD.只有一个摄像头
